symbol,regime,sector,sector_bucket,entry_date,exit_date,entry_price,exit_price,shares,atr_at_entry,initial_stop,breakeven_hit,profit,profit_pct,hold_days,exit_reason,size_multiplier,deferred_exit,slippage_applied
FORTIS.NS,R2,Healthcare,Named Sector,2017-01-24,2017-01-24,182.0,182.0,49,6.78767157122636,161.6369852863209,True,-17.83599999999933,0.0,1,Chandelier Stop,1.0,False,False
MFSL.NS,R2,Financial Services,Named Sector,2017-08-10,2017-08-11,589.1500244140625,589.1500244140625,17,18.674119949000843,533.1276645670599,True,-20.031100830075957,0.0,2,Chandelier Stop,1.0,False,False
ADANIPORTS.NS,R2,Logistics,Named Sector,2017-09-28,2017-10-03,372.5499877929688,377.5499877929688,31,10.602443240834328,340.74265807046584,False,131.74690075683793,1.3421017752867488,2,SMA Exit,1.0,False,False
CGPOWER.NS,R2,Others,Others,2017-11-15,2017-11-20,81.94999694824219,84.25,104,3.181260243385331,72.4062162180862,False,221.91551770019578,2.8065932122126176,3,SMA Exit,1.0,False,False
GMRAIRPORT.NS,R2,Others,Others,2017-12-07,2017-12-11,15.135598182678224,16.081573486328125,420,0.7953214208105169,12.749633920246673,False,384.1984154319762,6.2500027566304714,2,RSI Overbought,1.0,False,False
BAJAJFINSV.NS,R2,Financial Services,Named Sector,2018-01-02,2018-01-09,519.989990234375,523.0,28,11.80694262856758,484.56916234867225,False,55.07655371093824,0.5788591746291691,5,SMA Exit,1.0,False,False
IDEA.NS,R2,Telecom,Named Sector,2018-01-25,2018-02-02,55.292259216308594,54.930477142333984,114,2.927765945748393,46.508961379063415,False,-53.80854837799052,-0.6543087207908858,5,Time Stop,1.0,False,False
RELIANCE.NS,R2,Energy,Named Sector,2018-02-06,2018-02-09,400.9349060058594,406.4208984375,33,10.047532891583023,370.7923073311103,True,154.395008697511,1.3683000281248776,3,SMA Exit,1.0,False,False
KOTAKBANK.NS,R2,Financial Services,Named Sector,2018-03-21,2018-03-28,210.9600067138672,208.8099975585937,81,4.123997955603983,198.58801284705524,False,-208.15211192322022,-1.0191548572472464,5,RSI Overbought,1.0,False,False
JINDALSTEL.NS,R2,Others,Others,2018-05-22,2018-05-29,239.0,235.0,30,11.052899644691676,205.84130106592497,False,-134.21999999999935,-1.6736401673640167,5,RSI Overbought,1.0,False,False
GODREJPROP.NS,R2,Realty,Named Sector,2018-06-20,2018-06-27,735.25,741.5999755859375,13,25.58034756766757,658.5089572969973,False,63.350632934572786,0.8636484985974158,5,Time Stop,1.0,False,False
DMART.NS,R2,Others,Others,2018-06-27,2018-07-02,1469.699951171875,1495.949951171875,8,43.51819794515104,1339.145357336422,False,186.27480078125154,1.7860788509293606,3,SMA Exit,1.0,False,False
AUBANK.NS,R2,Financial Services,Named Sector,2018-06-29,2018-07-04,335.0,337.29998779296875,25,11.270224581991316,301.18932625402607,False,40.69219512939708,0.6865635202891791,3,RSI Overbought,1.0,False,False
GODREJPROP.NS,R2,Realty,Named Sector,2018-06-28,2018-07-05,731.7999877929688,714.5,13,23.889159536840594,660.1325091824469,False,-243.70174114990186,-2.364032260391761,5,Time Stop,1.0,False,False
DMART.NS,R2,Others,Others,2018-07-20,2018-07-25,1526.5,1577.0,8,39.532392368508226,1407.9028228944753,True,379.1720000000005,3.3082214215525716,3,SMA Exit,1.0,False,False
INDHOTEL.NS,R2,Others,Others,2019-07-09,2019-07-12,142.05674743652344,145.2566680908203,78,4.26606899221592,129.2585404598757,False,227.18336462402476,2.252565057303403,3,SMA Exit,1.0,False,False
KOTAKBANK.NS,R2,Financial Services,Named Sector,2019-07-23,2019-07-23,292.0,292.0,53,6.359583340511672,272.92124997846497,True,-30.951999999999316,0.0,1,Chandelier Stop,1.0,False,False
ADANIPOWER.NS,R2,Power,Named Sector,2019-10-03,2019-10-11,12.31999969482422,12.539999961853027,589,0.5717898468804788,10.604630154182784,False,114.93761748218458,1.7857164973894568,5,RSI Overbought,1.0,False,False
AXISBANK.NS,R2,Financial Services,Named Sector,2019-12-09,2019-12-09,713.4500122070312,713.4500122070312,19,17.716905488234854,660.2992957423266,True,-27.111100463864204,0.0,1,Chandelier Stop,1.0,False,False
BAJFINANCE.NS,R2,Financial Services,Named Sector,2020-01-07,2020-01-10,405.5,413.010009765625,43,7.796523396224562,382.1104298113263,False,287.73448950195234,1.852036933569667,3,SMA Exit,1.0,False,False
ADANIPOWER.NS,R2,Power,Named Sector,2020-02-03,2020-02-06,12.0,12.460000038146973,879,0.3845636773806723,10.846308967857983,True,382.839693497659,3.833333651224772,3,RSI Overbought,1.0,False,False
ULTRACEMCO.NS,R2,Construction Materials,Named Sector,2020-09-01,2020-09-04,3925.0,3913.25,1,96.69403400391373,3634.917897988259,False,-19.58824999999979,-0.29936305732484075,3,SMA Exit,0.5,False,False
CHOLAFIN.NS,R2,Financial Services,Named Sector,2020-09-10,2020-09-15,222.0,234.5,14,11.387852637426152,187.83644208772154,False,168.60900000000038,5.63063063063063,3,SMA Exit,0.5,False,False
GODREJPROP.NS,R2,Realty,Named Sector,2020-09-10,2020-09-15,878.9500122070312,906.0,5,35.080592849922056,773.708233657265,False,126.32518890380925,3.0775342644397496,3,SMA Exit,0.5,False,False
IDEA.NS,R2,Telecom,Named Sector,2020-09-22,2020-09-24,10.350000381469728,8.944471238329495,186,0.9125086137820811,7.612474540123484,False,-265.01719234536586,-13.57999122064423,3,Initial Stop,0.5,False,False
ATGL.NS,R2,Energy,Named Sector,2020-10-16,2020-10-21,182.5500030517578,192.1999969482422,20,8.33630686302563,157.54108246268092,True,185.50487792968806,5.286219520767876,3,SMA Exit,0.5,False,False
AUBANK.NS,R2,Financial Services,Named Sector,2021-01-28,2021-02-02,433.0,475.2250061035156,10,15.55673077238128,386.32980768285614,True,413.1678109741215,9.751733511204533,3,SMA Exit,0.5,False,False
LUPIN.NS,R2,Healthcare,Named Sector,2021-02-02,2021-02-03,1000.0,1037.699951171875,4,37.07857911376074,888.7642626587178,False,142.6490048828132,3.7699951171875004,1,SMA Exit,0.5,False,False
KOTAKBANK.NS,R2,Financial Services,Named Sector,2021-03-19,2021-03-26,363.6900024414063,357.0,28,12.004152285390536,327.6775455852347,False,-207.49938842773372,-1.8394793358346786,5,Time Stop,1.0,False,False
BAJAJFINSV.NS,R2,Financial Services,Named Sector,2021-03-23,2021-03-30,942.4000244140624,954.7000122070312,13,29.537210677065058,853.7883923828672,False,135.23754083252243,1.305176939125865,4,SMA Exit,1.0,False,False
BAJAJFINSV.NS,R2,Financial Services,Named Sector,2021-04-13,2021-04-13,920.0,920.0,5,29.160376181414772,832.5188714557557,True,-9.199999999999818,0.0,1,Chandelier Stop,0.5,False,False
MFSL.NS,R2,Financial Services,Named Sector,2021-04-13,2021-04-22,853.7999877929688,841.5999755859375,5,32.0447425519334,757.6657601371685,False,-69.47706085205027,-1.428907517153717,5,Time Stop,0.5,False,False
HDFCLIFE.NS,R2,Financial Services,Named Sector,2021-04-20,2021-04-22,670.0999755859375,672.0,9,18.45057105206511,614.7482624297422,False,5.021319946289623,0.28354342386016546,1,SMA Exit,0.5,False,False
OBEROIRLTY.NS,R2,Realty,Named Sector,2021-04-23,2021-04-28,532.5,544.9000244140625,6,26.62799299734889,452.61602100795335,False,67.93574633789103,2.3286430824530515,3,SMA Exit,0.5,False,False
ASTRAL.NS,R2,Capital Goods,Named Sector,2021-05-03,2021-05-10,1184.362548828125,1187.324951171875,2,62.164155792662925,997.8700814501362,False,1.1814296875004402,0.25012631028236815,5,Time Stop,0.5,False,False
AXISBANK.NS,R2,Financial Services,Named Sector,2021-07-22,2021-07-27,750.0999755859375,750.5,24,14.098569509787149,707.804267056576,False,-26.41381347655988,0.05332947968036161,3,RSI Overbought,1.0,False,False
ABCAPITAL.NS,R2,Others,Others,2021-07-28,2021-08-03,117.4499969482422,119.4499969482422,86,3.96341882042238,105.55974048697506,False,151.62660052490355,1.7028523218109226,4,SMA Exit,1.0,False,False
CHOLAFIN.NS,R2,Financial Services,Named Sector,2021-08-23,2021-08-24,487.0,487.0,18,17.45001814176763,434.6499455746971,True,-17.531999999999243,0.0,2,Chandelier Stop,1.0,False,False
PHOENIXLTD.NS,R2,Realty,Named Sector,2021-08-23,2021-08-25,403.5,418.4500122070313,19,15.927224411666913,355.71832676499923,False,268.43318170166185,3.705083570515813,2,SMA Exit,1.0,False,False
AXISBANK.NS,R2,Financial Services,Named Sector,2021-08-23,2021-08-30,749.5,756.0,23,14.741868751952877,705.2743937441413,False,114.87350000000151,0.867244829886591,5,SMA Exit,1.0,False,False
JSWSTEEL.NS,R2,Metals & Mining,Named Sector,2021-08-23,2021-08-30,696.0,683.0499877929688,15,24.610395333607453,622.1688139991777,False,-214.93593292236255,-1.8606339377918464,5,SMA Exit,1.0,False,False
ADANIPORTS.NS,R2,Logistics,Named Sector,2021-10-29,2021-11-08,697.0,717.0,13,25.450799048061732,620.6476028558147,False,241.6180000000004,2.8694404591104736,5,SMA Exit,1.0,False,False
PRESTIGE.NS,R2,Realty,Named Sector,2021-11-23,2021-11-25,436.0,436.0,13,25.06994452599284,360.79016642202146,True,-11.33599999999933,0.0,3,Chandelier Stop,1.0,False,False
CHOLAFIN.NS,R2,Financial Services,Named Sector,2021-11-23,2021-11-30,585.4000244140625,541.0,13,26.191025121233157,506.82694905036305,False,-591.8435177001948,-7.584561421654071,5,Time Stop,1.0,False,False
JUBLFOOD.NS,R2,Consumer Services,Named Sector,2021-11-23,2021-11-30,745.0,728.0399780273438,13,26.974017742633155,664.0779467721005,False,-239.6298053588871,-2.2765130164639262,5,Time Stop,1.0,False,False
VOLTAS.NS,R2,Consumer Durables,Named Sector,2021-11-29,2021-12-01,1159.0,1202.0,10,36.00333812377442,1050.9899856286768,True,406.39000000000124,3.710094909404659,2,SMA Exit,1.0,False,False
POLYCAB.NS,R2,Capital Goods,Named Sector,2021-11-29,2021-12-02,2205.0,2331.449951171875,6,83.64174346701104,1954.074769598967,True,731.4810073242206,5.7346916631235825,3,SMA Exit,1.0,False,False
NAUKRI.NS,R2,Consumer Services,Named Sector,2021-11-30,2021-12-02,1171.0,1196.0,7,49.675909517820934,1021.9722714465372,False,158.4310000000023,2.134927412467976,2,SMA Exit,1.0,False,False
ADANIPORTS.NS,R2,Logistics,Named Sector,2021-12-01,2021-12-03,695.0,739.0,11,26.13050161316076,616.6084951605177,True,468.22600000000057,6.330935251798561,2,SMA Exit,1.0,False,False
AUBANK.NS,R2,Financial Services,Named Sector,2021-11-29,2021-12-06,559.0,571.0,13,23.2499644250529,489.2501067248413,False,141.3100000000013,2.146690518783542,5,RSI Overbought,1.0,False,False
FORTIS.NS,R2,Healthcare,Named Sector,2021-12-07,2021-12-13,272.95001220703125,279.1000061035156,25,13.528988127279565,232.36304782519255,False,139.9485969543466,2.2531575825025554,4,SMA Exit,1.0,False,False
GMRAIRPORT.NS,R2,Others,Others,2021-12-21,2021-12-23,35.99209213256836,39.55076217651367,197,1.5738026064327635,31.270684313270067,True,686.1760563583375,9.887366454936249,2,SMA Exit,1.0,False,False
PRESTIGE.NS,R2,Realty,Named Sector,2021-12-21,2021-12-23,439.25,459.0,27,22.818882784401087,370.79335164679674,False,508.99725000000217,4.496300512236767,2,SMA Exit,1.0,False,False
POLYCAB.NS,R2,Capital Goods,Named Sector,2021-12-21,2021-12-24,2325.0,2394.199951171875,25,93.86843066127356,2043.3947080161793,False,1612.0187805175883,2.9763419858870965,3,SMA Exit,1.0,False,False
MFSL.NS,R2,Financial Services,Named Sector,2021-12-20,2021-12-27,942.5,949.1500244140624,12,27.08067261128042,861.2579821661587,False,57.100492675779606,0.7055728821286351,5,Time Stop,1.0,False,False
INDHOTEL.NS,R2,Others,Others,2021-12-21,2021-12-28,184.0,179.35000610351562,46,8.870971185749996,157.38708644275002,False,-230.61381951904332,-2.5271705959154214,5,Time Stop,1.0,False,False
ADANIPOWER.NS,R2,Power,Named Sector,2021-12-21,2021-12-29,19.43000030517578,20.239999771118164,57,0.7774185440644077,17.097744672982557,False,43.90877955436736,4.168808302728716,6,SMA Exit,1.0,False,False
ADANIENT.NS,R2,Metals & Mining,Named Sector,2022-01-25,2022-01-25,1668.0,1668.0,5,59.49558287091172,1489.513251387265,True,-16.679999999998472,0.0,1,Chandelier Stop,0.5,False,False
BHARATFORG.NS,R2,Others,Others,2022-01-25,2022-01-31,715.0,737.7999877929688,9,20.848963813218827,652.4531085603435,False,192.12469024658276,3.1888094815340913,3,SMA Exit,0.5,False,False
FORTIS.NS,R2,Healthcare,Named Sector,2022-01-24,2022-02-01,275.95001220703125,271.95001220703125,38,9.178111063638685,248.4156790161152,False,-172.82020092773382,-1.449537895653001,5,RSI Overbought,1.0,False,False
OBEROIRLTY.NS,R2,Realty,Named Sector,2022-01-25,2022-02-01,878.0,927.4500122070312,5,37.63921229166535,765.0823631250039,True,238.22281097412178,5.632119841347523,4,SMA Exit,0.5,False,False
