symbol,regime,sector,sector_bucket,entry_date,exit_date,entry_price,exit_price,shares,atr_at_entry,initial_stop,breakeven_hit,profit,profit_pct,hold_days,exit_reason,size_multiplier,deferred_exit,slippage_applied
FORTIS.NS,R2,Healthcare,Named Sector,2017-01-24,2017-01-25,182.0,189.0,49,6.78767157122636,161.6369852863209,False,324.8209999999999,3.8461538461538463,1,SMA Exit,1.0,False,False
MFSL.NS,R2,Financial Services,Named Sector,2017-08-10,2017-08-14,589.1500244140625,614.9000244140625,17,18.674119949000843,533.1276645670599,False,417.2811491699231,4.3707033748508435,2,SMA Exit,1.0,False,False
ADANIPORTS.NS,R2,Logistics,Named Sector,2017-09-28,2017-10-03,372.5499877929688,377.5499877929688,31,10.602443240834328,340.74265807046584,False,131.74690075683793,1.3421017752867488,2,SMA Exit,1.0,False,False
CGPOWER.NS,R2,Others,Others,2017-11-15,2017-11-20,81.94999694824219,84.25,105,3.181260243385331,72.4062162180862,False,224.0493207550062,2.8065932122126176,3,SMA Exit,1.0,False,False
GMRAIRPORT.NS,R2,Others,Others,2017-12-07,2017-12-11,15.135598182678224,16.081573486328125,423,0.7953214208105169,12.749633920246673,False,386.9426898279189,6.2500027566304714,2,RSI Overbought,1.0,False,False
BAJAJFINSV.NS,R2,Financial Services,Named Sector,2018-01-02,2018-01-19,519.989990234375,484.56916234867225,28,11.80694262856758,484.56916234867225,False,-1019.9108370720023,-6.811828794961519,14,Initial Stop,1.0,False,False
IDEA.NS,R2,Telecom,Named Sector,2018-01-25,2018-02-02,55.292259216308594,54.930477142333984,114,2.927765945748393,46.508961379063415,False,-53.80854837799052,-0.6543087207908858,5,Time Stop (Day 5 Loss),1.0,False,False
RELIANCE.NS,R2,Energy,Named Sector,2018-02-06,2018-02-09,400.9349060058594,406.4208984375,33,10.047532891583023,370.7923073311103,False,154.395008697511,1.3683000281248776,3,SMA Exit,1.0,False,False
KOTAKBANK.NS,R2,Financial Services,Named Sector,2018-03-21,2018-03-28,210.9600067138672,208.8099975585937,81,4.123997955603983,198.58801284705524,False,-208.15211192322022,-1.0191548572472464,5,Time Stop (Day 5 Loss),1.0,False,False
JINDALSTEL.NS,R2,Others,Others,2018-05-22,2018-05-29,239.0,235.0,30,11.052899644691676,205.84130106592497,False,-134.21999999999935,-1.6736401673640167,5,Time Stop (Day 5 Loss),1.0,False,False
DMART.NS,R2,Others,Others,2018-06-27,2018-07-02,1469.699951171875,1495.949951171875,8,43.51819794515104,1339.145357336422,False,186.27480078125154,1.7860788509293606,3,SMA Exit,1.0,False,False
AUBANK.NS,R2,Financial Services,Named Sector,2018-06-29,2018-07-04,335.0,337.29998779296875,25,11.270224581991316,301.18932625402607,False,40.69219512939708,0.6865635202891791,3,RSI Overbought,1.0,False,False
GODREJPROP.NS,R2,Realty,Named Sector,2018-06-20,2018-07-18,735.25,696.0999755859375,13,25.58034756766757,658.5089572969973,False,-527.5578670654286,-5.3247228036807215,20,Limbo Cap (Day 20),1.0,False,False
DMART.NS,R2,Others,Others,2018-07-20,2018-07-25,1526.5,1577.0,8,39.532392368508226,1407.9028228944753,False,379.1720000000005,3.3082214215525716,3,SMA Exit,1.0,False,False
INDHOTEL.NS,R2,Others,Others,2019-07-09,2019-07-12,142.05674743652344,145.2566680908203,78,4.26606899221592,129.2585404598757,False,227.18336462402476,2.252565057303403,3,SMA Exit,1.0,False,False
KOTAKBANK.NS,R2,Financial Services,Named Sector,2019-07-23,2019-07-24,292.0,298.6000061035156,52,6.359583340511672,272.92124997846497,False,312.48911706543186,2.260276062847817,1,SMA Exit,1.0,False,False
ADANIPOWER.NS,R2,Power,Named Sector,2019-10-03,2019-11-04,12.31999969482422,13.630000114440918,587,0.5717898468804788,10.604630154182784,False,753.737596426964,10.633120552487062,20,Limbo Cap (Day 20),1.0,False,False
AXISBANK.NS,R2,Financial Services,Named Sector,2019-12-09,2020-01-07,713.4500122070312,728.0,19,17.716905488234854,660.2992957423266,False,249.06221783447472,2.039384335835793,20,Limbo Cap (Day 20),1.0,False,False
BAJFINANCE.NS,R2,Financial Services,Named Sector,2020-01-07,2020-01-10,405.5,413.010009765625,40,7.796523396224562,382.1104298113263,False,267.6599902343769,1.852036933569667,3,SMA Exit,1.0,False,False
ADANIPOWER.NS,R2,Power,Named Sector,2020-02-03,2020-02-06,12.0,12.460000038146973,885,0.3845636773806723,10.846308967857983,False,385.45293372631204,3.833333651224772,3,RSI Overbought,1.0,False,False
ULTRACEMCO.NS,R2,Construction Materials,Named Sector,2020-09-01,2020-09-04,3925.0,3913.25,1,96.69403400391373,3634.917897988259,False,-19.58824999999979,-0.29936305732484075,3,SMA Exit,0.5,False,False
CHOLAFIN.NS,R2,Financial Services,Named Sector,2020-09-10,2020-09-15,222.0,234.5,14,11.387852637426152,187.83644208772154,False,168.60900000000038,5.63063063063063,3,SMA Exit,0.5,False,False
GODREJPROP.NS,R2,Realty,Named Sector,2020-09-10,2020-09-15,878.9500122070312,906.0,5,35.080592849922056,773.708233657265,False,126.32518890380925,3.0775342644397496,3,SMA Exit,0.5,False,False
IDEA.NS,R2,Telecom,Named Sector,2020-09-22,2020-09-24,10.350000381469728,8.944471238329495,187,0.9125086137820811,7.612474540123484,False,-266.4420159601259,-13.57999122064423,3,Initial Stop,0.5,False,False
ATGL.NS,R2,Energy,Named Sector,2020-10-16,2020-10-21,182.5500030517578,192.1999969482422,20,8.33630686302563,157.54108246268092,False,185.50487792968806,5.286219520767876,3,SMA Exit,0.5,False,False
AUBANK.NS,R2,Financial Services,Named Sector,2021-01-28,2021-02-02,433.0,475.2250061035156,11,15.55673077238128,386.32980768285614,False,454.48459207153337,9.751733511204533,3,SMA Exit,0.5,False,False
LUPIN.NS,R2,Healthcare,Named Sector,2021-02-02,2021-02-03,1000.0,1037.699951171875,4,37.07857911376074,888.7642626587178,False,142.6490048828132,3.7699951171875004,1,SMA Exit,0.5,False,False
KOTAKBANK.NS,R2,Financial Services,Named Sector,2021-03-19,2021-03-26,363.6900024414063,357.0,28,12.004152285390536,327.6775455852347,False,-207.49938842773372,-1.8394793358346786,5,Time Stop (Day 5 Loss),1.0,False,False
BAJAJFINSV.NS,R2,Financial Services,Named Sector,2021-03-23,2021-03-30,942.4000244140624,954.7000122070312,13,29.537210677065058,853.7883923828672,False,135.23754083252243,1.305176939125865,4,SMA Exit,1.0,False,False
BAJAJFINSV.NS,R2,Financial Services,Named Sector,2021-04-13,2021-04-15,920.0,975.1699829101562,5,29.160376181414772,832.5188714557557,False,266.3740646362312,5.996737272843071,1,SMA Exit,0.5,False,False
MFSL.NS,R2,Financial Services,Named Sector,2021-04-13,2021-04-22,853.7999877929688,841.5999755859375,5,32.0447425519334,757.6657601371685,False,-69.47706085205027,-1.428907517153717,5,Time Stop (Day 5 Loss),0.5,False,False
HDFCLIFE.NS,R2,Financial Services,Named Sector,2021-04-20,2021-04-22,670.0999755859375,672.0,9,18.45057105206511,614.7482624297422,False,5.021319946289623,0.28354342386016546,1,SMA Exit,0.5,False,False
OBEROIRLTY.NS,R2,Realty,Named Sector,2021-04-23,2021-04-28,532.5,544.9000244140625,6,26.62799299734889,452.61602100795335,False,67.93574633789103,2.3286430824530515,3,SMA Exit,0.5,False,False
ASTRAL.NS,R2,Capital Goods,Named Sector,2021-05-03,2021-05-10,1184.362548828125,1187.324951171875,2,62.164155792662925,997.8700814501362,False,1.1814296875004402,0.25012631028236815,5,Time Stop (Day 5 Loss),0.5,False,False
AXISBANK.NS,R2,Financial Services,Named Sector,2021-07-22,2021-07-27,750.0999755859375,750.5,24,14.098569509787149,707.804267056576,False,-26.41381347655988,0.05332947968036161,3,RSI Overbought,1.0,False,False
ABCAPITAL.NS,R2,Others,Others,2021-07-28,2021-08-03,117.4499969482422,119.4499969482422,87,3.96341882042238,105.55974048697506,False,153.3897005310082,1.7028523218109226,4,SMA Exit,1.0,False,False
CHOLAFIN.NS,R2,Financial Services,Named Sector,2021-08-23,2021-08-25,487.0,510.0,18,17.45001814176763,434.6499455746971,False,396.0540000000001,4.722792607802875,2,SMA Exit,1.0,False,False
PHOENIXLTD.NS,R2,Realty,Named Sector,2021-08-23,2021-08-25,403.5,418.4500122070313,19,15.927224411666913,355.71832676499923,False,268.43318170166185,3.705083570515813,2,SMA Exit,1.0,False,False
JSWSTEEL.NS,R2,Metals & Mining,Named Sector,2021-08-23,2021-08-30,696.0,683.0499877929688,15,24.610395333607453,622.1688139991777,False,-214.93593292236255,-1.8606339377918464,5,Time Stop (Day 5 Loss),1.0,False,False
AXISBANK.NS,R2,Financial Services,Named Sector,2021-08-23,2021-09-21,749.5,795.25,23,14.741868751952877,705.2743937441413,False,1016.7207500000004,6.104069379586391,20,Limbo Cap (Day 20),1.0,False,False
PRESTIGE.NS,R2,Realty,Named Sector,2021-11-23,2021-11-26,436.0,463.0,13,25.06994452599284,360.79016642202146,False,339.3130000000001,6.192660550458716,3,SMA Exit,1.0,False,False
ADANIPORTS.NS,R2,Logistics,Named Sector,2021-10-29,2021-11-30,697.0,704.0,13,25.450799048061732,620.6476028558147,False,72.78700000000026,1.0043041606886656,20,Limbo Cap (Day 20),1.0,False,False
CHOLAFIN.NS,R2,Financial Services,Named Sector,2021-11-23,2021-11-30,585.4000244140625,541.0,13,26.191025121233157,506.82694905036305,False,-591.8435177001948,-7.584561421654071,5,Time Stop (Day 5 Loss),1.0,False,False
JUBLFOOD.NS,R2,Consumer Services,Named Sector,2021-11-23,2021-11-30,745.0,728.0399780273438,13,26.974017742633155,664.0779467721005,False,-239.6298053588871,-2.2765130164639262,5,Time Stop (Day 5 Loss),1.0,False,False
VOLTAS.NS,R2,Consumer Durables,Named Sector,2021-11-29,2021-12-01,1159.0,1202.0,11,36.00333812377442,1050.9899856286768,False,447.02900000000227,3.710094909404659,2,SMA Exit,1.0,False,False
POLYCAB.NS,R2,Capital Goods,Named Sector,2021-11-29,2021-12-02,2205.0,2331.449951171875,7,83.64174346701104,1954.074769598967,False,853.394508544925,5.7346916631235825,3,SMA Exit,1.0,False,False
NAUKRI.NS,R2,Consumer Services,Named Sector,2021-11-30,2021-12-02,1171.0,1196.0,8,49.675909517820934,1021.9722714465372,False,181.06400000000212,2.134927412467976,2,SMA Exit,1.0,False,False
ADANIPORTS.NS,R2,Logistics,Named Sector,2021-12-01,2021-12-03,695.0,739.0,11,26.13050161316076,616.6084951605177,False,468.22600000000057,6.330935251798561,2,SMA Exit,1.0,False,False
FORTIS.NS,R2,Healthcare,Named Sector,2021-12-07,2021-12-13,272.95001220703125,279.1000061035156,25,13.528988127279565,232.36304782519255,False,139.9485969543466,2.2531575825025554,4,SMA Exit,1.0,False,False
GMRAIRPORT.NS,R2,Others,Others,2021-12-21,2021-12-23,35.99209213256836,39.55076217651367,186,1.5738026064327635,31.270684313270067,False,647.8616572723395,9.887366454936249,2,SMA Exit,1.0,False,False
PRESTIGE.NS,R2,Realty,Named Sector,2021-12-21,2021-12-23,439.25,459.0,27,22.818882784401087,370.79335164679674,False,508.99725000000217,4.496300512236767,2,SMA Exit,1.0,False,False
POLYCAB.NS,R2,Capital Goods,Named Sector,2021-12-21,2021-12-24,2325.0,2394.199951171875,25,93.86843066127356,2043.3947080161793,False,1612.0187805175883,2.9763419858870965,3,SMA Exit,1.0,False,False
AUBANK.NS,R2,Financial Services,Named Sector,2021-11-29,2021-12-27,559.0,504.0,13,23.2499644250529,489.2501067248413,False,-728.8189999999986,-9.838998211091235,20,Limbo Cap (Day 20),1.0,False,False
INDHOTEL.NS,R2,Others,Others,2021-12-21,2021-12-28,184.0,179.35000610351562,44,8.870971185749996,157.38708644275002,False,-220.58713171386717,-2.5271705959154214,5,Time Stop (Day 5 Loss),1.0,False,False
MFSL.NS,R2,Financial Services,Named Sector,2021-12-20,2022-01-17,942.5,1031.300048828125,13,27.08067261128042,861.2579821661587,False,1128.741234130861,9.42175584383289,20,Limbo Cap (Day 20),1.0,False,False
ADANIPOWER.NS,R2,Power,Named Sector,2021-12-21,2022-01-18,19.43000030517578,23.3799991607666,35,0.7774185440644077,17.097744672982557,False,136.7516099643708,20.329381335823324,20,Limbo Cap (Day 20),1.0,False,False
BHARATFORG.NS,R2,Others,Others,2022-01-25,2022-01-31,715.0,737.7999877929688,10,20.848963813218827,652.4531085603435,False,213.4718780517578,3.1888094815340913,3,SMA Exit,0.5,False,False
